# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456498757 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/kw.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 5 53 16777236 456499149 3 ./scripts-old/ntop/ntop/.svn/props/p2c.opt.table.gz.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 5 53 16777236 456499148 3 ./scripts-old/ntop/ntop/.svn/props/oui.txt.gz.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491808 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/li.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491807 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/local.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456491806 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/kz.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488480 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/ad.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488481 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/ae.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488482 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/af.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488483 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/ag.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456488484 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/am.gif.svn-work
